 A0149959A,0010,A,A,E,C,B,C,A,C,D,E,E,A,A,E,B,E,D,B,A,E,C,B,A,A,C,B,B,A,A,E,B,D,E,D,C,B,A,,,,,,,,,,,,,
 A0139633B,0018,A,A,C,C,B,E,B,C,D,E,B,A,E,B,B,B,B,B,E,E,D,E,B,B,C,B,E,A,C,E,B,B,A,C,C,A,A,,,,,,,,,,,,,
 A0193163E,0020,A,A,E,C,B,C,A,C,C,E,B,A,A,E,A,E,A,B,D,D,E,E,D,E,E,C,B,A,C,B,B,E,A,A,C,B,A,,,,,,,,,,,,,
 A0193389L,0014,A,A,C,A,B,C,A,C,A,A,B,A,D,A,B,B,C,B,C,D,A,E,C,E,C,B,A,A,C,D,B,A,A,C,C,D,D,,,,,,,,,,,,,
 A0156013U,0018,A,A,B,E,D,C,A,C,D,E,E,A,E,C,B,C,C,B,A,E,E,B,D,E,C,D,B,A,D,A,B,E,C,C,E,A,B,,,,,,,,,,,,,
 A0140023E,0007,A,B,A,C,A,C,D,D,A,A,B,E,B,C,B,C,A,C,C,C,B,C,A,C,B,C,B,B,C,C,E,A,B,C,E,E,A,,,,,,,,,,,,,
 A0092390E,0009,A,B,A,A,A,C,D,E,B,A,B,E,D,E,B,D,A,E,C,C,C,C,C,,E,D,B,D,E,C,E,E,E,D,E,E,A,,,,,,,,,,,,,
 A0173005U,0011,A,B,C,C,A,C,D,E,B,A,B,E,C,E,B,D,A,B,C,C,A,C,B,B,B,C,B,D,C,B,E,D,E,D,E,E,A,,,,,,,,,,,,,
 A0140527M,0010,A,B,A,C,A,C,D,D,A,A,E,C,A,E,B,A,A,B,C,D,C,C,D,B,E,D,B,D,C,C,E,C,C,B,E,D,E,,,,,,,,,,,,,
 A0193250L,0013,A,B,A,C,A,C,C,C,A,A,B,B,A,E,B,D,D,E,E,C,A,B,D,C,C,B,B,B,C,C,D,B,,,D,B,D,,,,,,,,,,,,,
 A0192725Y,0004,A,C,B,C,A,E,D,E,A,A,C,D,E,E,A,B,A,C,B,B,*,C,D,B,E,D,C,A,D,A,A,C,B,C,*,C,*,,,,,,,,,,,,,
 A0164207L,0009,A,C,D,C,C,C,D,E,E,A,C,C,B,E,A,B,E,D,C,B,A,D,C,B,A,C,B,D,A,A,B,C,E,C,B,D,A,,,,,,,,,,,,,
 A0170752H,0005,A,C,D,E,C,C,D,E,E,A,C,D,B,E,D,B,C,E,C,B,A,D,E,B,A,C,B,D,A,C,E,C,C,C,B,E,,,,,,,,,,,,,,
 A0155700N,0008,A,C,D,E,,E,A,A,E,A,C,D,B,E,D,B,E,E,C,E,A,C,D,A,A,E,B,D,E,C,A,C,E,C,E,B,E,,,,,,,,,,,,,
