 A0193414H,0008,B,B,D,D,B,E,B,C,A,C,C,C,B,E,D,A,D,E,C,C,E,B,A,E,B,C,A,E,B,A,B,A,A,B,C,E,E,,,,,,,,,,,,,
 A0160529E,0006,B,B,C,C,B,A,D,D,C,E,B,D,D,E,A,B,B,D,E,D,D,B,C,B,B,A,D,B,B,A,A,B,A,B,D,B,C,,,,,,,,,,,,,
 A0140493J,0005,B,B,C,E,B,A,D,B,C,D,B,D,C,D,C,B,C,C,C,C,E,B,E,D,B,C,E,E,A,A,B,E,C,E,D,B,C,,,,,,,,,,,,,
 A0155868L,0009,B,C,D,E,C,A,C,B,B,E,E,B,C,E,C,E,C,C,A,C,C,C,B,A,E,D,D,C,D,B,B,B,B,B,B,B,D,,,,,,,,,,,,,
 A0139812A,0008,B,C,D,E,E,A,C,A,B,E,D,B,C,,C,,A,,A,C,C,E,B,A,,B,D,C,D,E,D,E,C,D,B,B,,,,,,,,,,,,,,
 A0193231M,0010,B,C,D,E,E,A,C,A,B,E,E,B,E,E,C,E,A,A,A,C,C,D,A,E,C,B,D,D,C,C,D,C,A,B,C,E,E,,,,,,,,,,,,,
 A0177310M,0010,B,C,D,E,B,A,C,C,B,E,C,B,A,,C,C,A,A,A,C,D,C,B,A,C,B,D,D,B,C,B,C,D,,C,A,C,,,,,,,,,,,,,
 A0140244W,0006,B,D,E,E,E,E,B,D,A,E,C,D,E,,C,A,C,E,A,C,A,C,B,A,B,C,C,C,C,C,C,C,C,E,C,D,A,,,,,,,,,,,,,
 A0155181J,0004,B,D,B,E,A,E,B,D,C,E,C,B,C,A,C,D,E,E,A,B,D,A,B,A,B,C,C,D,B,E,D,B,C,C,B,A,C,,,,,,,,,,,,,
 U0193085Y,0006,B,D,B,A,D,E,A,A,D,C,C,D,B,C,C,D,E,B,A,C,C,C,E,C,B,C,C,A,B,A,A,B,C,C,B,A,C,,,,,,,,,,,,,
 A0155560H,0006,B,D,A,B,E,C,B,A,A,A,E,B,C,A,C,D,E,A,A,E,D,E,E,C,A,C,A,B,B,E,A,B,D,C,D,D,A,,,,,,,,,,,,,
 A 124512W,0010,C,A,A,B,E,C,C,B,D,E,D,E,C,C,B,E,A,C,B,A,B,E,A,C,A,B,E,D,B,D,C,D,C,B,C,,,,,,,,,,,,,,,
 A0178747J,0006,C,A,C,A,B,E,D,B,,D,*,B,,E,B,C,D,C,,A,*,E,E,,A,E,E,,B,A,A,D,,,,,C,,,,,,,,,,,,,
 A0193715Y,0010,C,A,C,C,B,E,A,B,A,E,A,B,A,C,B,C,C,E,A,A,C,C,C,C,C,D,C,C,B,D,C,C,C,B,A,D,C,,,,,,,,,,,,,
 A0154907Y,0005,C,A,C,A,C,E,A,B,E,E,C,B,A,C,A,C,D,C,B,A,B,E,C,B,D,A,C,C,B,D,D,B,D,B,D,A,C,,,,,,,,,,,,,
 A0144893U,0012,C,B,C,A,D,A,C,C,D,E,C,C,D,E,E,A,C,C,B,E,A,B,A,D,D,B,E,C,E,E,B,E,E,A,C,A,C,,,,,,,,,,,,,
 A0167354Y,0008,C,B,E,B,D,A,C,E,D,C,C,C,D,E,C,A,C,D,B,E,C,B,A,C,D,A,A,E,E,A,D,B,E,A,A,E,D,,,,,,,,,,,,,
 A0193040R,0009,C,B,E,B,A,B,E,A,C,C,E,E,E,E,B,A,A,C,B,D,E,B,A,C,C,D,B,C,,B,C,,D,B,D,E,A,,,,,,,,,,,,,
 A0193392X,0009,C,B,C,B,D,A,C,C,D,C,C,C,D,E,E,A,C,E,B,E,A,B,A,D,E,B,A,E,E,A,E,B,E,C,C,A,C,,,,,,,,,,,,,
 A0156234J,0010,C,B,C,B,D,B,C,C,A,A,C,C,D,E,E,A,A,C,B,E,A,B,A,D,C,B,A,C,E,E,B,C,C,D,B,E,C,,,,,,,,,,,,,
